Evidence ID,Gate ID,Gate requirement,Evidence required,Evidence location,Accountable owner role,Reviewer / approver role,Evidence status,Target date,Last checked,Update target after accepted,Closure impact,Notes
EVID-001,GATE-001,Authorized source evidence reviewed,Owner evidence rows reviewed by an authorized person; no source-derived names moved until approved.,Owner Evidence Review!A5:J13; Owner Appointment and Authority Packet,Journey Lead,Programme governance authority,Needs evidence,,2026-07-18,Owner Evidence Review status and notes,Prepares owner nomination only,Keep private source records restricted.
EVID-002,GATE-001,Named owners and backups confirmed,"Candidate names, backup coverage, availability and training status are confirmed by the programme owner.",Owner Appointment Routing!A5:N16; Leader Roster!A5:H16,Journey Lead,Programme governance authority,Needs owner completion,,2026-07-18,Owner Appointment Routing; Leader Roster,Required before GATE-001 can close,Private contact details stay out unless explicitly approved.
EVID-003,GATE-001,Final decision rights approved,"Final authority, escalation route and accountable operating owner are approved.",Governance Authority Review!A5:K16; DEC-003; HR-005,Oversight Lead,Programme governance authority,Needs authority approval,,2026-07-18,Governance Authority Review; Decisions; Human Review,Required before role authority is live,This checklist does not approve HR-005.
EVID-004,GATE-002,HR-001 safeguarding sign-off recorded,"Qualified safeguarding reviewer records name, authority, decision, date and any required changes.",Human Review Routing!A5:M5; Human Review!J5:N5; Safeguarding Review Packet,Oversight Lead,Qualified safeguarding professional,Needs reviewer assigned,,2026-07-18,Human Review HR-001,One of seven human gates,No child-protection content is approved by this row.
EVID-005,GATE-002,HR-002 local law sign-off recorded,"Qualified legal reviewer records jurisdiction, authority, decision, date and any conditions.",Human Review Routing!A6:M6; Human Review!J6:N6; Legal Compliance Review Packet,Oversight Lead,Qualified legal advisor,Needs reviewer assigned,,2026-07-18,Human Review HR-002,One of seven human gates,Do not generalize one jurisdiction to another.
EVID-006,GATE-002,HR-003 medical readiness sign-off recorded,"Qualified medical reviewer records scope, authority, decision, date and required changes.",Human Review Routing!A7:M7; Human Review!J7:N7; Medical Readiness Review Packet,Safety Lead,Qualified medical professional,Needs reviewer assigned,,2026-07-18,Human Review HR-003,One of seven human gates,Do not enter medical details in shared cells.
EVID-007,GATE-002,HR-004 theology sign-off recorded,"Programme theological authority records decision, date and required content changes.",Human Review Routing!A8:M8; Human Review!J8:N8; Theology Review Packet,Pastoral Lead,Programme theological authority,Needs reviewer assigned,,2026-07-18,Human Review HR-004,One of seven human gates,Approval must come from programme authority.
EVID-008,GATE-002,HR-005 operating authority sign-off recorded,Programme governance authority approves final decision rights and any conditions.,Human Review Routing!A9:M9; Human Review!J9:N9; Governance Authority Review!A5:K16,Oversight Lead,Programme governance authority,Needs authority approval,,2026-07-18,Human Review HR-005; Governance Authority Review,"Dependency for GATE-001, GATE-005 and GATE-006",Role authority remains draft until accepted.
EVID-009,GATE-002,HR-006 girls programme sign-off recorded,Programme content owner approves girls session and rite-of-passage content or records required changes.,Human Review Routing!A10:M10; Human Review!J10:N10; Girls Programme Content Review Packet,Youth Track Lead,Programme content owner,Needs reviewer assigned,,2026-07-18,Human Review HR-006,One of seven human gates,Do not invent missing programme content.
EVID-010,GATE-002,HR-007 copyright boundary sign-off recorded,"Copyright/legal reviewer records whether benchmark wording, media, screenshots, design assets or branded concepts are permitted.",Human Review Routing!A11:M11; Human Review!J11:N11; Copyright Boundary Review Packet,Knowledge Management Lead,Copyright/legal reviewer,Needs reviewer assigned,,2026-07-18,Human Review HR-007,Dependency for public website content,Alpha remains benchmark inspiration unless permission is explicit.
EVID-011,GATE-003,"Pilot owner, date and scope confirmed","Pilot owner confirms date, scope, attendees, evidence boundaries and minimum gate checks.",Pilot Cycle Plan!A5:M6; Pilot Run Sheet and Debrief Packet,Journey Lead,Oversight Lead,Needs pilot run,,2026-07-18,Pilot Cycle Plan PIL-001 through PIL-002,Starts GATE-003 evidence,Use leadership-team pilot only.
EVID-012,GATE-003,Pilot walkthroughs completed,"Owner, review-packet, session-resource, event-readiness, restricted-data and access workflows are walked through.",Pilot Cycle Plan!A8:M13,Journey Lead,Oversight Lead,Needs pilot run,,2026-07-18,Pilot Cycle Plan PIL-004 through PIL-009,Proves workflow usability,"Record process observations, not private personal data."
EVID-013,GATE-003,Pilot observations logged,"Unclear steps, duplicated work, missing resources, unnecessary fields, risks and data restrictions are logged.",Pilot Log!A5:L104,Knowledge Management Lead,Journey Lead,Needs evidence,,2026-07-18,Pilot Log; TASK-013,Required before GATE-003 can close,"No participant, medical, financial or private personal data."
EVID-014,GATE-003,Pilot debrief and approved changes routed,"Debrief decisions are accepted and approved changes are assigned back to templates, trackers or website backlog.",Pilot Cycle Plan!A15:M16; Pilot Log; TASK-013,Journey Lead,Oversight Lead,Needs debrief,,2026-07-18,Pilot Cycle Plan PIL-011 through PIL-012,Final GATE-003 closure evidence,Changes must be approved before templates move.
EVID-015,GATE-004,Real-data fields and storage approved,Accountable data owner approves minimum necessary fields and storage locations before synthetic examples are replaced.,Restricted Data Replacement Checklist; DEC-005; TASK-014,Administration Lead,Accountable data owner,Needs data owner approval,,2026-07-18,DEC-005; restricted checklist,Starts GATE-004 evidence,Least-privilege storage only.
EVID-016,GATE-004,Least-privilege access confirmed,"Access groups for personal, medical, financial and participant records are confirmed before any real data is entered.",Restricted Data Replacement Checklist; Website Access Review,Administration Lead,Accountable data owner,Needs data owner approval,,2026-07-18,Restricted locations and access groups,Required before real-data replacement,Shared tracker can hold non-sensitive operating status only.
EVID-017,GATE-004,Synthetic replacement evidence recorded,"Approved real local information replaces synthetic examples only in approved locations, with reviewer evidence recorded.",TASK-014; Resource Library Index Quality Checks; restricted checklist,Knowledge Management Lead,Accountable data owner,Needs evidence,,2026-07-18,TASK-014; Quality Checks,Final GATE-004 closure evidence,Do not copy source-private details to broad Drive locations.
EVID-018,GATE-005,Area-by-area access decisions completed,"Each website area has minimum access, decision status, rationale, approver and conditions recorded.",Website Access Review!A5:J18,Oversight Lead,Website approving authority,Needs access decision,,2026-07-18,Website Access Review,Starts DEC-004 evidence,Do not broaden access from prototype rows.
EVID-019,GATE-005,Final access model recorded,"Leaders-only, partly public with protected leader area, or public information plus authenticated tools is selected and approved.",DEC-004; Website Access Model Decision Brief,Oversight Lead,Website approving authority,Needs access decision,,2026-07-18,DEC-004,Required before GATE-005 can close,Record conditions before production website work.
EVID-020,GATE-005,Authority and copyright dependencies verified,Operating authority and copyright boundaries are accepted or conditions are resolved before public/protected website release.,HR-005; HR-007; DEC-004,Oversight Lead,Programme governance authority,Needs authority approval,,2026-07-18,Human Review HR-005 and HR-007,Dependency for production publication,Benchmark content remains restricted until approved.
EVID-021,GATE-006,Publication checklist completed,"Content scope, media permissions, access model, authority and launch rollback are approved in the publication checklist.",Production Website Publication Gate Checklist; TASK-016,Knowledge Management Lead,Production publishing authority,Needs publication approval,,2026-07-18,Publication checklist; TASK-016,Starts GATE-006 evidence,Prototype is not production.
EVID-022,GATE-006,Production deployment approval and URL recorded,"Production URL, deployment commit/version, approved content scope and accountable approval are recorded.",DEC-006; Event Readiness!A10:H10; production deployment record,Knowledge Management Lead,Production publishing authority,Needs publication approval,,2026-07-18,DEC-006; Event Readiness,Final GATE-006 closure evidence,Do not publish until GATE-005 and required HR gates close.
