Brief ID,Seq,Session block,IRA link,LDC rows,Decision focus,Required authority,Facilitator role,Prompt to ask,Proof to capture,Session status,Target date,Evidence link,Update target after accepted
IDSB-001,1,Open authority and scope,IRA-001..IRA-006,LDC-001..LDC-018,Confirm who is authorized to make or defer each decision in this session.,Journey leadership team,Journey Lead,"Which decisions can be made today, which must be routed, and who has authority for each?","Attendance roles, decision authority, deferred-decision owners and session boundaries recorded.",Ready to schedule,,,Leadership Review Outputs; Leadership Decision Capture
IDSB-002,2,Owners and governance,IRA-001,LDC-001..LDC-003,"Nominate owner candidates, backups and final decision-rights approver.",Programme governance authority,Journey Lead,"Which names and backups are ready for programme-owner confirmation, and what authority evidence is required?","Candidate names only in approved fields, backup coverage, approver, decision date, conditions and evidence link.",Ready to schedule,,,Owner Appointment Routing; Leader Roster; Governance Authority Review; DEC-003
IDSB-003,3,Human-review routing,IRA-002,LDC-004..LDC-010,Assign qualified reviewers and packet-routing dates for HR-001 through HR-007.,Programme governance authority,Oversight Lead,"Who is the qualified reviewer for each gate, what authority do they hold, and by when will each packet be reviewed?","Reviewer role/name where approved, authority basis, target date, packet status and conditions; no private contact details.",Ready to schedule,,,Human Review Routing; Human Review; Gate Evidence Checklist
IDSB-004,4,Pilot planning,IRA-003,LDC-011,"Set the small leadership-team pilot scope, facilitator, attendee roles and target date.",Journey leadership team,Journey Lead,"What smallest real Journey cycle can be piloted without private participant data, and who will run it?","Pilot scope, date, facilitator role, attendee roles, evidence boundaries and preflight conditions.",Ready to schedule,,,Pilot Cycle Plan; Event Readiness; TASK-013
IDSB-005,5,Pilot debrief path,IRA-003,LDC-012,"Agree how pilot observations, duplicated work, missing resources and unnecessary fields will be captured.",Journey leadership team,Journey Lead,"After the pilot, what observations will be accepted, routed, deferred or rejected?","Non-sensitive observations, debrief summary, accepted changes, follow-up owner roles and evidence link.",Blocked until pilot run,,,Pilot Log; Leadership Review Outputs; Gate Evidence Checklist
IDSB-006,6,Restricted data replacement,IRA-004,LDC-013..LDC-014,Confirm the approval route for replacing synthetic examples with real local information.,Accountable data owner,Administration Lead,"Which fields are minimum necessary, where will they live, and who approves storage and access?","Approved storage location, access group, minimum fields, retention, duplicate handling and evidence link.",Ready to schedule,,,Restricted Data Replacement Checklist; DEC-005; TASK-014
IDSB-007,7,Website access model,IRA-005,LDC-015,"Choose or defer leaders-only, partly public/protected, or public-info plus authenticated tools.",Website approving authority,Oversight Lead,"Which access model is acceptable for each website area, and what conditions block launch?","Selected model, WAR area decisions, approver, decision date, evidence link and conditions.",Ready to schedule,,,Website Access Review; DEC-004; TASK-015; Launch Gates
IDSB-008,8,Website content and copyright,IRA-006,LDC-016,"Confirm content, Alpha/copyright, media and restricted-handling approval path.",Website approving authority,Knowledge Management Lead,"Which pages, resources, videos and dates can proceed, which are protected, and what copyright approval is missing?","Approved, withheld or deferred WCR rows; copyright/media evidence, conditions and publication handoff owner.",Ready to schedule,,,Website Content Review; Human Review HR-007; Gate Evidence Checklist
IDSB-009,9,Publication prerequisites,IRA-006,LDC-017..LDC-018,Confirm production build remains blocked until prerequisites are accepted.,Production publishing authority,Knowledge Management Lead,Which prerequisite evidence must exist before build handoff or publication can be considered?,"Prerequisite checklist, accepted build scope conditions, rollback owner requirement and go/no-go authority path.",Blocked until prerequisites accepted,,,Website Build Backlog; DEC-006; TASK-016; Event Readiness; Launch Gates
IDSB-010,10,Close and update order,IRA-001..IRA-006,LDC-001..LDC-018,"Record which decisions were made, which were deferred, and who updates each live surface.",Journey leadership team,Knowledge Management Lead,"What gets updated immediately after the session, and what remains unchanged because proof is missing?","Leadership Review Output row, LDC status changes where approved, update owner roles, evidence links and no-change notes.",Ready to schedule,,,Leadership Review Outputs; Leadership Decision Capture; Implementation Readiness Audit; RUN_LOG
